region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,270.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,150.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A18,Agricultural - A18,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A24,Agricultural - A24,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A26,Agricultural - A26,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A38,Agricultural - A38,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A42,Agricultural - A42,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGLIMA TAHIL,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,ALONG THE PROVINCIAL ROAD,CR,Commercial - Regular,270.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,ALONG THE PROVINCIAL ROAD,RR,Residential - Regular,180.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,210.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,135.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A18,Agricultural - A18,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A24,Agricultural - A24,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A26,Agricultural - A26,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A38,Agricultural - A38,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A42,Agricultural - A42,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,5.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,ALONG PROVINCIAL ROAD,RR,Residential - Regular,50.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,80.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,40.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,60.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A9,Agricultural - A9,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A13,Agricultural - A13,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PANGUTARAN,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,1.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,ALONG THE PROVINCIAL ROAD,CR,Commercial - Regular,490.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,ALONG THE PROVINCIAL ROAD,RR,Residential - Regular,308.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,370.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,245.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A18,Agricultural - A18,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A24,Agricultural - A24,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A26,Agricultural - A26,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A38,Agricultural - A38,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A42,Agricultural - A42,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,ALONG PROVINCIAL ROAD,RR,Residential - Regular,125.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,200.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,100.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,150.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A9,Agricultural - A9,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A13,Agricultural - A13,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,,,,PARANG,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,2.5
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,ALONG THE PROVINCIAL ROAD,CR,Commercial - Regular,308.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,ALONG THE PROVINCIAL ROAD,RR,Residential - Regular,203.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,245.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,150.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,7.0
raw,"RDO NO. 95 - Jolo, Sulu is composed of the following Municipalities:",,4/9/2021,1ST,SULU,PATA,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,7.0
