region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,X,Special / Other,1100.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,GP,General Purpose,350.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A1,Agricultural - A1,70.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A2,Agricultural - A2,55.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A4,Agricultural - A4,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A6,Agricultural - A6,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A8,Agricultural - A8,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A10,Agricultural - A10,30.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A15,Agricultural - A15,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A16,Agricultural - A16,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A23,Agricultural - A23,55.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A40,Agricultural - A40,1000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAHAGAYAN ROAD *,INTERIOR**,A50,Agricultural - A50,25.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAMILI ROAD *,POBLACION TO END**,CR,Commercial - Regular,1800.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,CAMILI,CAMILI ROAD *,POBLACION TO END**,RR,Residential - Regular,1000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,COMOD-OM,ALL OTHER STREETS*,INTERIOR**,A40,Agricultural - A40,800.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,COMOD-OM,ALL OTHER STREETS*,INTERIOR**,A50,Agricultural - A50,15.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,CR,Commercial - Regular,1600.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,RR,Residential - Regular,800.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,I,Industrial,1100.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,X,Special / Other,1000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,GP,General Purpose,300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A1,Agricultural - A1,65.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A2,Agricultural - A2,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A4,Agricultural - A4,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A6,Agricultural - A6,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A8,Agricultural - A8,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A10,Agricultural - A10,25.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A15,Agricultural - A15,30.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A16,Agricultural - A16,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A23,Agricultural - A23,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A39,Agricultural - A39,200.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A40,Agricultural - A40,900.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,ALONG ALL OTHER STREETS***,A50,Agricultural - A50,20.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,CR,Commercial - Regular,1300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,RR,Residential - Regular,700.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,I,Industrial,1000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,X,Special / Other,900.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,GP,General Purpose,250.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A1,Agricultural - A1,60.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A2,Agricultural - A2,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A4,Agricultural - A4,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A6,Agricultural - A6,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A8,Agricultural - A8,30.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A10,Agricultural - A10,20.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A15,Agricultural - A15,25.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A16,Agricultural - A16,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A23,Agricultural - A23,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A39,Agricultural - A39,150.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A40,Agricultural - A40,800.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,ALL OTHER STREETS **,INTERIOR ***,A50,Agricultural - A50,15.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,CR,Commercial - Regular,2000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,RR,Residential - Regular,1200.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,I,Industrial,1500.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,X,Special / Other,1400.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,GP,General Purpose,500.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A1,Agricultural - A1,85.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A2,Agricultural - A2,70.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A4,Agricultural - A4,65.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A6,Agricultural - A6,60.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A8,Agricultural - A8,55.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A10,Agricultural - A10,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A15,Agricultural - A15,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A16,Agricultural - A16,60.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A23,Agricultural - A23,70.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A39,Agricultural - A39,400.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A40,Agricultural - A40,1300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,POBLACION - END***,A50,Agricultural - A50,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,CR,Commercial - Regular,1900.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,RR,Residential - Regular,1100.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,I,Industrial,1400.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,X,Special / Other,1300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,GP,General Purpose,450.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A1,Agricultural - A1,80.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A2,Agricultural - A2,65.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A4,Agricultural - A4,60.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A6,Agricultural - A6,55.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A8,Agricultural - A8,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A10,Agricultural - A10,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A15,Agricultural - A15,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A16,Agricultural - A16,55.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A23,Agricultural - A23,65.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A39,Agricultural - A39,350.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A40,Agricultural - A40,1200.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,CIRCUMFERENTIAL ROAD**,INTERIOR***,A50,Agricultural - A50,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,NATIONAL ROAD**,ALONG REGIONAL HIGHWAY 303 POBLACION - MADALAG / ALONG PROVINCIAL ROAD***,CR,Commercial - Regular,2100.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,GUI-OB*,NATIONAL ROAD**,ALONG REGIONAL HIGHWAY 303 POBLACION - MADALAG / ALONG PROVINCIAL ROAD***,RR,Residential - Regular,1300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,CR,Commercial - Regular,1600.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,RR,Residential - Regular,800.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,I,Industrial,1100.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,X,Special / Other,1000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,GP,General Purpose,300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A1,Agricultural - A1,65.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A2,Agricultural - A2,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A4,Agricultural - A4,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A6,Agricultural - A6,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A8,Agricultural - A8,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A10,Agricultural - A10,25.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A15,Agricultural - A15,30.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A16,Agricultural - A16,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A23,Agricultural - A23,50.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A39,Agricultural - A39,200.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A40,Agricultural - A40,900.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,ALONG ALL OTHER STREETS***,A50,Agricultural - A50,20.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,CR,Commercial - Regular,1300.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,RR,Residential - Regular,700.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,I,Industrial,1000.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,X,Special / Other,900.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,GP,General Purpose,250.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A1,Agricultural - A1,60.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A2,Agricultural - A2,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A4,Agricultural - A4,40.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A6,Agricultural - A6,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A8,Agricultural - A8,30.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A10,Agricultural - A10,20.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A15,Agricultural - A15,25.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A16,Agricultural - A16,35.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A23,Agricultural - A23,45.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A39,Agricultural - A39,150.0
raw,"RDO No. 35 - Odiongan, Romblon is composed of the following Municipalities",,,2ND,ROMBLON,ALCANTARA,LAWAN*,ALL OTHER STREETS**,INTERIOR***,A40,Agricultural - A40,800.0
